Unnamed: 0,YearMonth,LangName,CommitCnts
24785,2007-03-01,Python,10648566
59266,2007-04-01,Python,13716900
21575,2007-05-01,Python,22865202
64747,2007-06-01,Python,8381822
17262,2007-07-01,Python,30013671
85515,2007-08-01,Python,9346639
81204,2007-09-01,Python,7041134
80135,2007-10-01,Python,42704038
22631,2007-11-01,Python,10130654
87743,2007-12-01,Python,7901746
6461,2008-01-01,Python,36775824
37586,2008-02-01,Python,29454398
94264,2008-03-01,Python,13316004
43984,2008-04-01,Python,39385889
7488,2008-05-01,Python,18148103
75672,2008-06-01,Python,15402146
73462,2008-07-01,Python,39849747
40799,2008-08-01,Python,17101637
19442,2008-09-01,Python,18903927
78984,2008-10-01,Python,35313019
66908,2008-11-01,Python,18356982
63608,2008-12-01,Python,25577648
42901,2009-01-01,Python,32886627
4260,2009-02-01,Python,19667864
48379,2009-03-01,Python,33001525
96361,2009-04-01,Python,30623360
23664,2009-05-01,Python,18886470
12841,2009-06-01,Python,36073083
82258,2009-07-01,Python,17840334
80142,2009-08-01,Python,21372403
4267,2009-09-01,Python,34488115
18377,2009-10-01,Python,19817847
97520,2009-11-01,Python,21809867
20506,2009-12-01,Python,34916263
72394,2010-01-01,Python,18669075
25801,2010-02-01,Python,25392113
3199,2010-03-01,Python,27652494
97536,2010-04-01,Python,18472276
5349,2010-05-01,Python,39431127
26883,2010-06-01,Python,17283385
48350,2010-07-01,Python,21052543
91987,2010-08-01,Python,33551494
2090,2010-09-01,Python,22756738
82253,2010-10-01,Python,41081816
36495,2010-11-01,Python,22162036
76801,2010-12-01,Python,24496799
45081,2011-01-01,Python,31065534
5366,2011-02-01,Python,23593315
48369,2011-03-01,Python,37715320
50516,2011-04-01,Python,21648093
8,2011-05-01,Python,35502298
93146,2011-06-01,Python,22419026
83385,2011-07-01,Python,32636129
20501,2011-08-01,Python,24485230
37575,2011-09-01,Python,22447033
6442,2011-10-01,Python,27912098
62492,2011-11-01,Python,28034787
89808,2011-12-01,Python,27774684
98578,2012-01-01,Python,27128683
72362,2012-02-01,Python,28025194
90898,2012-03-01,Python,34202624
58160,2012-04-01,Python,22447747
49445,2012-05-01,Python,25024958
65801,2012-06-01,Python,19686048
32134,2012-07-01,Python,23581089
59232,2012-08-01,Python,18446436
24774,2012-09-01,Python,24368451
31067,2012-10-01,Python,23401335
74557,2012-11-01,Python,24962720
16,2012-12-01,Python,16367972
19443,2013-01-01,Python,23042983
17,2013-02-01,Python,21428953
15077,2013-03-01,Python,26297561
13983,2013-04-01,Python,25559948
65800,2013-05-01,Python,18388042
77840,2013-06-01,Python,18274073
89821,2013-07-01,Python,17476604
63628,2013-08-01,Python,18047198
42884,2013-09-01,Python,24818327
85495,2013-10-01,Python,19823348
82271,2013-11-01,Python,15991863
18342,2013-12-01,Python,17218382
83380,2014-01-01,Python,17983381
64712,2014-02-01,Python,17630097
39728,2014-03-01,Python,19324894
69072,2014-04-01,Python,15861172
80114,2014-05-01,Python,18015768
85496,2014-06-01,Python,16550623
9620,2014-07-01,Python,18893721
36481,2014-08-01,Python,15306838
91994,2014-09-01,Python,17145312
89823,2014-10-01,Python,15739741
34303,2014-11-01,Python,15758587
40772,2014-12-01,Python,12543512
2099,2015-01-01,Python,15620382
10696,2015-02-01,Python,13947006
26852,2015-03-01,Python,16728343
3189,2015-04-01,Python,15505842
21571,2015-05-01,Python,14838112
53786,2015-06-01,Python,14036316
71281,2015-07-01,Python,12941010
36490,2015-08-01,Python,11652628
72360,2015-09-01,Python,10470205
8584,2015-10-01,Python,9651580
